Time,AccelerometerX,AccelerometerY,AccelerometerZ 
-0.392219,-0.431,-9.542,-1.682
-0.38227,-0.392,-9.451,-1.746
-0.372321,-0.392,-9.426,-1.662
-0.362372,-0.314,-9.412,-1.739
-0.352423,-0.275,-9.471,-1.63
-0.342474,-0.235,-9.562,-1.567
-0.332525,-0.196,-9.639,-1.58
-0.322576,-0.275,-9.724,-1.555
-0.312627,-0.235,-9.73,-1.517
-0.302678,-0.196,-9.86,-1.46
-0.292729,-0.235,-9.919,-1.351
-0.28278,-0.235,-9.926,-1.312
-0.272831,-0.235,-9.964,-1.319
-0.262882,-0.235,-10.003,-1.326
-0.252933,-0.275,-10.062,-1.217
-0.242984,-0.235,-10.114,-1.146
-0.233035,-0.314,-10.076,-1.139
-0.223086,-0.275,-10.083,-1.101
-0.213137,-0.275,-10.121,-1.107
-0.203188,-0.314,-10.096,-1.023
-0.19324,-0.392,-10.173,-1.037
-0.183292,-0.314,-10.187,-0.96
-0.173344,-0.314,-10.18,-0.998
-0.163396,-0.353,-10.16,-1.114
-0.153448,-0.353,-10.173,-1.037
-0.1435,-0.314,-10.148,-0.953
-0.133552,-0.353,-10.11,-0.946
-0.123604,-0.353,-10.142,-0.992
-0.113656,-0.314,-10.083,-1.101
-0.103708,-0.314,-10.057,-1.017
-0.09376,-0.275,-10.026,-0.971
-0.083836,-0.235,-10.039,-0.894
-0.073912,-0.235,-10.012,-1.048
-0.063988,-0.235,-10.026,-0.971
-0.054064,-0.275,-10.044,-1.094
-0.04414,-0.235,-10.103,-0.985
-0.034216,-0.196,-10.173,-1.037
-0.024292,-0.235,-10.173,-1.037
-0.014368,-0.235,-10.167,-1.076
-0.004444,-0.235,-10.128,-1.069
0.00548,-0.196,-10.167,-1.076
0.015404,-0.235,-10.128,-1.069
0.025328,-0.196,-10.096,-1.023
0.035252,-0.196,-10.062,-1.217
0.045176,-0.196,-10.037,-1.132
0.055101,-0.235,-10.11,-0.946
0.065026,-0.235,-10.017,-1.248
0.074951,-0.196,-10.062,-1.217
0.084876,-0.196,-10.023,-1.21
0.094801,-0.235,-10.03,-1.171
0.104726,-0.275,-10.03,-1.171
0.114651,-0.275,-9.998,-1.126
0.124576,-0.235,-10.023,-1.21
0.134501,-0.235,-9.998,-1.126
0.144426,-0.275,-9.953,-1.158
0.154351,-0.275,-9.908,-1.189
0.164276,-0.275,-9.921,-1.112
0.174201,-0.314,-9.908,-1.189
0.184128,-0.275,-9.892,-0.828
0.194055,-0.314,-9.717,-0.917
0.203982,-0.353,-9.908,-1.189
0.213909,-0.353,-10.076,-1.139
0.223836,-0.353,-10.051,-1.055
0.233763,-0.314,-10.051,-1.055
0.24369,-0.275,-10.142,-0.992
0.253617,-0.235,-10.121,-1.107
0.263544,-0.235,-10.146,-1.192
0.273471,-0.275,-10.114,-1.146
0.283398,-0.275,-10.083,-1.101
0.293325,-0.275,-10.114,-1.146
0.303252,-0.235,-10.133,-1.269
0.313179,-0.235,-10.133,-1.269
0.323106,-0.235,-10.108,-1.185
0.333029,-0.235,-10.01,-1.287
0.342952,-0.235,-10.037,-1.132
0.352875,-0.235,-10.003,-1.326
0.362798,-0.235,-9.964,-1.319
0.372721,-0.235,-10.01,-1.287
0.382644,-0.235,-10.003,-1.326
0.392567,-0.275,-9.971,-1.28
0.40249,-0.314,-9.971,-1.28
0.412413,-0.275,-9.926,-1.312
0.422336,-0.235,-9.939,-1.235
0.432259,-0.275,-9.835,-1.376
0.442182,-0.275,-9.817,-1.253
0.452108,-0.235,-9.803,-1.33
0.462034,-0.275,-9.719,-1.355
0.47196,-0.314,-9.855,-1.26
0.481886,-0.353,-9.862,-1.221
0.491812,-0.353,-9.901,-1.228
0.501738,-0.353,-9.939,-1.235
0.511664,-0.353,-10.023,-1.21
0.52159,-0.392,-10.023,-1.21
0.531516,-0.392,-10.048,-1.294
0.541442,-0.392,-10.069,-1.178
0.551368,-0.392,-10.114,-1.146
0.561294,-0.392,-10.114,-1.146
0.57122,-0.431,-10.062,-1.217
0.581123,-0.431,-10.089,-1.062
0.591026,-0.392,-10.096,-1.023
0.600929,-0.392,-10.03,-1.171
0.610832,-0.392,-10.051,-1.055
0.620735,-0.392,-9.998,-1.126
0.630638,-0.353,-9.998,-1.126
0.640541,-0.392,-9.967,-1.08
0.650444,-0.392,-10.005,-1.087
0.660347,-0.353,-9.992,-1.164
0.67025,-0.314,-9.973,-1.042
0.680153,-0.275,-9.998,-1.126
0.690056,-0.275,-9.998,-1.126
0.699959,-0.314,-9.998,-1.126
0.709862,-0.275,-10.051,-1.055
0.719765,-0.314,-10.089,-1.062
0.729668,-0.275,-10.078,-0.901
0.739599,-0.275,-10.051,-1.055
0.74953,-0.275,-10.096,-1.023
0.759461,-0.235,-10.089,-1.062
0.769392,-0.235,-10.096,-1.023
0.779323,-0.235,-10.083,-1.101
0.789254,-0.235,-10.076,-1.139
0.799185,-0.235,-10.062,-1.217
0.809116,-0.235,-10.076,-1.139
0.819047,-0.235,-10.069,-1.178
0.828978,-0.275,-10.076,-1.139
0.83889,-0.275,-10.083,-1.101
0.848802,-0.235,-10.044,-1.094
0.858714,-0.235,-9.985,-1.203
0.868626,-0.275,-9.971,-1.28
0.878538,-0.275,-9.971,-1.28
0.88845,-0.235,-10.023,-1.21
0.898362,-0.196,-10.023,-1.21
0.908274,-0.235,-10.062,-1.217
0.918186,-0.275,-10.03,-1.171
0.928098,-0.275,-9.985,-1.203
0.93801,-0.314,-9.978,-1.242
0.947922,-0.314,-9.985,-1.203
0.957834,-0.314,-9.998,-1.126
0.967746,-0.314,-9.985,-1.203
0.977661,-0.314,-9.985,-1.203
0.987576,-0.314,-9.978,-1.242
0.997491,-0.353,-9.998,-1.126
1.007406,-0.353,-9.978,-1.242
1.017321,-0.353,-10.037,-1.132
1.027236,-0.314,-10.037,-1.132
1.037151,-0.314,-10.03,-1.171
1.047066,-0.314,-10.069,-1.178
1.056981,-0.314,-10.101,-1.223
1.066896,-0.314,-10.08,-1.339
1.076811,-0.314,-10.094,-1.262
1.086726,-0.314,-10.01,-1.287
1.096641,-0.235,-10.023,-1.21
1.106579,-0.275,-9.985,-1.203
1.116517,-0.314,-9.992,-1.164
1.126455,-0.275,-9.939,-1.235
1.136393,-0.314,-10.023,-1.21
1.146331,-0.353,-9.985,-1.203
1.156269,-0.353,-10.037,-1.132
1.166207,-0.314,-10.023,-1.21
1.176145,-0.314,-9.998,-1.126
1.186083,-0.314,-9.971,-1.28
1.196021,-0.353,-9.971,-1.28
1.205959,-0.392,-9.978,-1.242
1.215897,-0.392,-9.985,-1.203
1.225835,-0.353,-10.005,-1.087
1.23579,-0.392,-10.005,-1.087
1.245745,-0.392,-9.998,-1.126
1.2557,-0.353,-9.985,-1.203
1.265655,-0.353,-9.985,-1.203
1.27561,-0.314,-9.992,-1.164
1.285565,-0.314,-10.037,-1.132
1.29552,-0.275,-10.023,-1.21
1.305475,-0.275,-10.03,-1.171
1.31543,-0.275,-10.005,-1.087
1.325385,-0.314,-9.985,-1.203
1.33534,-0.314,-9.998,-1.126
1.345295,-0.275,-10.005,-1.087
1.35525,-0.275,-10.03,-1.171
1.365185,-0.235,-10.083,-1.101
1.37512,-0.235,-10.055,-1.255
1.385055,-0.235,-10.062,-1.217
1.39499,-0.275,-10.03,-1.171
1.404925,-0.275,-10.03,-1.171
1.41486,-0.235,-10.044,-1.094
1.424795,-0.275,-10.037,-1.132
1.43473,-0.275,-10.03,-1.171
1.444665,-0.275,-10.023,-1.21
1.4546,-0.275,-10.03,-1.171
1.464535,-0.275,-10.037,-1.132
1.47447,-0.275,-9.992,-1.164
1.484405,-0.235,-10.023,-1.21
1.49434,-0.235,-10.023,-1.21
1.504263,-0.314,-10.017,-1.248
1.514186,-0.275,-10.083,-1.101
1.524109,-0.275,-10.069,-1.178
1.534032,-0.275,-10.062,-1.217
1.543955,-0.275,-10.037,-1.132
1.553878,-0.275,-10.037,-1.132
1.563801,-0.275,-10.03,-1.171
1.573724,-0.235,-10.03,-1.171
1.583647,-0.196,-9.985,-1.203
1.59357,-0.196,-10.037,-1.132
1.603493,-0.196,-9.978,-1.242
1.613416,-0.196,-10.037,-1.132
1.623339,-0.235,-10.044,-1.094
1.63326,-0.157,-10.005,-1.087
1.643181,-0.196,-9.992,-1.164
1.653102,-0.235,-10.023,-1.21
1.663023,-0.196,-9.978,-1.242
1.672944,-0.196,-10.03,-1.171
1.682865,-0.235,-10.03,-1.171
1.692786,-0.235,-9.978,-1.242
1.702707,-0.235,-9.978,-1.242
1.712628,-0.235,-9.992,-1.164
1.722549,-0.235,-10.037,-1.132
1.73247,-0.235,-9.985,-1.203
1.742391,-0.235,-9.998,-1.126
1.752312,-0.235,-10.005,-1.087
1.762251,-0.275,-9.985,-1.203
1.77219,-0.275,-10.005,-1.087
1.782129,-0.275,-9.985,-1.203
1.792068,-0.275,-9.978,-1.242
1.802007,-0.235,-10.023,-1.21
1.811946,-0.235,-10.076,-1.139
1.821885,-0.275,-10.076,-1.139
1.831824,-0.235,-10.037,-1.132
1.841763,-0.196,-10.023,-1.21
1.851702,-0.196,-10.023,-1.21
1.861641,-0.196,-10.017,-1.248
1.87158,-0.235,-10.017,-1.248
1.881519,-0.196,-9.992,-1.164
1.891465,-0.235,-9.996,-1.364
1.901411,-0.196,-9.937,-1.473
1.911357,-0.235,-10.01,-1.287
1.921303,-0.196,-10.01,-1.287
1.931249,-0.196,-10.023,-1.21
1.941195,-0.196,-10.048,-1.294
1.951141,-0.196,-9.985,-1.203
1.961087,-0.157,-9.971,-1.28
1.971033,-0.235,-9.978,-1.242
1.980979,-0.235,-9.985,-1.203
1.990925,-0.235,-10.017,-1.248
2.000871,-0.275,-9.996,-1.364
2.010817,-0.235,-9.971,-1.28
2.020773,-0.353,-9.978,-1.242
2.030729,-0.314,-9.939,-1.235
2.040685,-0.235,-9.908,-1.189
2.050641,-0.235,-9.946,-1.196
2.060597,-0.275,-9.971,-1.28
2.070553,-0.275,-9.985,-1.203
2.080509,-0.275,-10.01,-1.287
2.090465,-0.275,-10.023,-1.21
2.100421,-0.275,-9.978,-1.242
2.110377,-0.275,-9.971,-1.28
2.120333,-0.275,-9.985,-1.203
2.130289,-0.275,-10.017,-1.248
2.140245,-0.275,-10.023,-1.21
2.150183,-0.235,-9.978,-1.242
2.160121,-0.314,-9.958,-1.357
2.170059,-0.275,-10.083,-1.101
2.179997,-0.275,-10.055,-1.255
2.189935,-0.275,-10.003,-1.326
2.199873,-0.275,-10.01,-1.287
2.209811,-0.275,-10.069,-1.178
2.219749,-0.235,-10.069,-1.178
2.229687,-0.275,-10.076,-1.139
2.239625,-0.275,-10.062,-1.217
2.249563,-0.275,-10.101,-1.223
2.259501,-0.275,-10.048,-1.294
2.269439,-0.275,-10.08,-1.339
2.279377,-0.275,-10.171,-1.276
2.289322,-0.275,-10.094,-1.262
2.299267,-0.235,-10.105,-1.423
2.309212,-0.275,-10.126,-1.307
2.319157,-0.275,-10.119,-1.346
2.329102,-0.235,-10.042,-1.332
2.339047,-0.275,-10.042,-1.332
2.348992,-0.275,-10.073,-1.378
2.358937,-0.314,-10.073,-1.378
2.368882,-0.353,-10.028,-1.41
2.378827,-0.314,-9.937,-1.473
2.388772,-0.314,-9.86,-1.46
2.398717,-0.314,-9.937,-1.473
2.408662,-0.314,-9.912,-1.389
2.418595,-0.314,-9.905,-1.428
2.428528,-0.314,-9.855,-1.937
2.438461,-0.235,-9.917,-1.589
2.448394,-0.196,-9.976,-1.48
2.458327,-0.235,-9.892,-1.505
2.46826,-0.235,-9.801,-1.569
2.478193,-0.235,-9.755,-1.601
2.488126,-0.196,-9.73,-1.517
2.498059,-0.157,-9.737,-1.478
2.507992,-0.157,-9.737,-1.478
2.517925,-0.118,-9.624,-1.219
2.527858,-0.118,-9.569,-1.528
2.537791,-0.118,-9.68,-1.348
2.547724,-0.157,-9.719,-1.355
2.557657,-0.118,-9.878,-1.582
2.567572,-0.118,-9.953,-1.158
2.577487,-0.078,-9.983,-1.442
2.587402,-0.078,-10.046,-1.532
2.597317,-0.196,-10.067,-1.417
2.607232,-0.353,-10.096,-1.701
2.617147,-0.431,-9.967,-1.08
2.627062,-0.549,-9.821,-1.453
2.636977,-0.588,-9.792,-1.169
2.646892,-0.667,-9.733,-1.278
2.656807,-0.667,-9.821,-1.453
2.666722,-0.667,-9.887,-1.305
2.676637,-0.588,-10.148,-1.63
2.686552,-0.51,-10.337,-1.464
2.696467,-0.392,-10.385,-1.194
2.706371,-0.275,-10.239,-1.566
2.716275,-0.196,-10.273,-1.373
2.726179,-0.157,-10.196,-1.36
2.736083,-0.118,-10.171,-1.276
2.745987,-0.118,-10.035,-1.371
2.755891,-0.118,-9.951,-1.396
2.765795,-0.157,-9.735,-1.039
2.775699,-0.118,-9.746,-1.201
2.785603,-0.118,-9.855,-1.26
2.795507,-0.078,-9.855,-1.26
2.805411,-0.118,-10.037,-1.132
2.815315,-0.157,-10.158,-1.353
2.825219,-0.196,-10.255,-1.251
2.835101,-0.196,-10.23,-1.167
2.844983,-0.235,-10.148,-1.63
2.854865,-0.235,-9.914,-0.474
2.864747,-0.392,-9.955,-1.596
2.874629,-0.392,-10.051,-1.055
2.884511,-0.471,-9.96,-1.119
2.894393,-0.51,-9.942,-0.996
2.904275,-0.549,-9.985,-1.203
2.914157,-0.588,-9.987,-0.964
2.924039,-0.667,-10.012,-1.048
2.933921,-0.667,-10.051,-1.055
2.943803,-0.706,-9.998,-1.126
2.953685,-0.706,-10.069,-1.178
2.963567,-0.706,-10.089,-1.062
2.973449,-0.667,-10.164,-1.314
2.983331,-0.667,-10.087,-1.301
2.993213,-0.667,-10.012,-1.048
3.003095,-0.667,-9.946,-1.196
3.012977,-0.628,-9.998,-1.126
3.022859,-0.628,-10.044,-1.094
3.032741,-0.628,-9.942,-1.673
3.042623,-0.667,-10.18,-1.676
3.052505,-0.667,-10.364,-1.31
3.062387,-0.549,-10.087,-0.623
3.072269,-0.628,-9.826,-0.976
3.082151,-0.667,-9.835,-1.376
3.092033,-0.667,-9.91,-1.628
3.101928,-0.588,-10.046,-1.532
3.111823,-0.549,-9.903,-0.989
3.121718,-0.51,-9.78,-1.685
3.131613,-0.51,-9.858,-1.698
3.141508,-0.51,-9.933,-1.273
3.151403,-0.471,-9.958,-1.357
3.161298,-0.431,-9.987,-1.642
3.171193,-0.431,-9.971,-1.28
3.181088,-0.431,-9.937,-1.473
3.190983,-0.431,-9.969,-1.519
3.200878,-0.392,-9.983,-1.442
3.210773,-0.431,-9.964,-1.319
3.220668,-0.431,-9.989,-1.403
3.230563,-0.392,-10.053,-1.494
3.240453,-0.392,-10.105,-1.423
3.250343,-0.392,-10.06,-1.455
3.260233,-0.353,-9.996,-1.364
3.270123,-0.392,-9.958,-1.357
3.280013,-0.392,-9.962,-1.557
3.289903,-0.392,-9.937,-1.473
3.299793,-0.392,-9.98,-1.68
3.309683,-0.392,-9.969,-1.519
3.319573,-0.392,-9.942,-1.673
3.329463,-0.353,-9.962,-1.557
3.339353,-0.353,-9.935,-1.712
3.349243,-0.353,-9.935,-1.712
3.359133,-0.392,-10.039,-1.571
3.369041,-0.471,-9.91,-1.628
3.378949,-0.51,-9.833,-1.614
3.388857,-0.471,-9.776,-1.485
3.398765,-0.471,-9.751,-1.401
3.408673,-0.471,-9.737,-1.478
3.418581,-0.471,-9.783,-1.446
3.428489,-0.51,-9.873,-1.382
3.438397,-0.549,-9.912,-1.389
3.448305,-0.549,-9.899,-1.467
3.458213,-0.549,-9.885,-1.544
3.468121,-0.588,-9.944,-1.435
3.478029,-0.549,-9.976,-1.48
3.487937,-0.51,-9.994,-1.603
3.497845,-0.471,-9.869,-1.86
3.507778,-0.431,-10.005,-1.764
3.517711,-0.471,-10.083,-1.778
