Time,GyroscopeX,GyroscopeY,GyroscopeZ 
-0.376643,-4.06,9.671,-1.636
-0.366162,-1.68,9.347,-1.408
-0.355681,0.91,9.172,-1.226
-0.3452,3.36,8.815,-1.218
-0.334719,5.32,8.098,-0.776
-0.324238,7.28,7.149,-0.232
-0.313757,8.54,6.374,0.129
-0.303276,9.24,5.835,-0.037
-0.292795,9.87,5.292,0.222
-0.282314,10.29,4.465,0.076
-0.271833,10.29,3.645,0.287
-0.261352,10.22,3.495,0.332
-0.250871,9.8,2.826,0.498
-0.24039,9.73,2.295,0.689
-0.229909,9.1,1.882,0.616
-0.219428,8.96,1.322,0.162
-0.208947,8.54,1.119,-0.3
-0.198466,7.84,1.156,-0.507
-0.187985,7.56,1.066,-0.807
-0.177523,6.79,1.168,-0.576
-0.167061,6.02,1.16,-0.933
-0.156599,5.25,1.176,-1.428
-0.146137,4.83,1.314,-1.403
-0.135675,4.83,1.496,-1.229
-0.125213,4.55,1.691,-1.123
-0.114751,4.62,1.703,-1.192
-0.104289,4.13,2.153,-1.326
-0.093827,3.99,1.76,-1.111
-0.083365,4.06,1.549,-0.722
-0.072914,4.13,1.602,-0.215
-0.062463,4.2,1.496,-0.02
-0.052012,3.57,1.172,0.207
-0.041561,3.85,1.31,0.231
-0.03111,3.22,0.527,0.235
-0.020659,2.31,0.596,0.247
-0.010208,1.4,0.531,1.018
2.43E-4,0.49,0.377,1.488
0.010694,0.0,0.215,1.602
0.021145,-0.28,-0.081,1.265
0.031596,-0.7,-0.04,0.633
0.042047,-1.26,-0.219,1.241
0.052498,-1.26,-0.474,1.48
0.062934,-1.05,-0.819,1.419
0.07337,-1.19,-0.681,1.444
0.083806,-0.84,-1.155,1.715
0.094242,-0.98,-1.622,2.344
0.104678,-1.05,-1.845,2.802
0.115114,-0.56,-2.108,2.685
0.12555,-0.42,-2.368,2.141
0.135986,0.35,-2.295,1.728
0.146422,0.77,-2.611,1.103
0.156858,1.54,-2.697,0.377
0.167294,1.61,-2.713,-0.336
0.17773,2.38,-3.131,-1.192
0.188166,3.08,-3.151,-1.48
0.198599,3.43,-3.046,-1.674
0.209032,3.92,-2.129,-1.228
0.219465,4.06,-1.265,-1.289
0.229898,3.64,-0.819,-0.997
0.240331,2.94,-0.547,-0.523
0.250764,2.45,-0.105,0.195
0.261197,1.68,0.612,0.961
0.27163,1.19,0.775,2.056
0.282063,0.28,1.026,2.242
0.292496,-0.63,1.148,2.761
0.302929,-1.82,1.168,3.049
0.313362,-2.45,1.075,3.175
0.323795,-3.01,1.095,3.463
0.334228,-3.43,0.933,3.576
0.344669,-3.85,0.475,3.353
0.35511,-4.06,0.369,3.548
0.365551,-3.99,-0.932,3.674
0.375992,-3.99,-1.427,3.658
0.386433,-3.85,-2.096,3.824
0.396874,-3.64,-2.08,3.329
0.407315,-3.5,-2.652,2.944
0.417756,-3.08,-3.272,2.835
0.428197,-2.8,-3.726,2.186
0.438638,-1.89,-4.748,1.935
0.449079,-0.77,-5.182,1.574
0.459552,0.0,-5.344,1.688
0.470025,0.84,-6.115,1.623
0.480498,1.82,-6.459,1.562
0.490971,3.08,-6.869,1.063
0.501444,3.71,-6.816,0.362
0.511917,4.34,-6.492,0.135
0.52239,4.41,-6.253,0.39
0.532863,4.62,-5.977,0.439
0.543336,4.83,-5.794,0.613
0.553809,4.83,-5.474,0.812
0.564282,3.99,-5.478,1.238
0.574755,3.22,-4.756,1.578
0.585241,2.94,-4.059,2.056
0.595727,2.59,-3.39,1.89
0.606213,2.03,-2.895,1.906
0.616699,1.82,-2.437,2.129
0.627185,2.17,-2.052,1.557
0.637671,1.96,-1.281,1.622
0.648157,2.24,-1.289,1.265
0.658643,2.31,-1.598,0.998
0.669129,2.73,-1.103,1.014
0.679615,3.01,-0.973,0.681
0.690101,3.15,-1.119,0.3
0.700587,3.15,-1.318,0.621
0.711073,3.08,-1.65,0.491
0.721559,2.87,-1.293,0.483
0.732045,3.29,-1.476,0.308
0.742551,2.8,-1.59,0.146
0.753057,2.73,-1.545,0.296
0.763563,2.24,-1.594,0.572
0.774069,1.96,-1.48,0.734
0.784575,1.54,-1.091,0.945
0.795081,1.26,-1.172,1.002
0.805587,0.7,-1.229,0.921
0.816093,0.63,-1.346,1.184
0.826599,0.35,-1.172,1.002
0.837105,0.21,-0.738,1.363
0.847608,0.21,-1.249,1.841
0.858111,-0.21,-1.33,1.898
0.868614,0.0,-1.086,1.728
0.879117,-0.28,-1.504,2.08
0.88962,-0.07,-1.654,2.125
0.900123,-0.07,-1.699,1.975
0.910626,0.28,-1.658,2.551
0.921129,0.63,-2.035,2.271
0.931632,0.77,-2.193,1.959
0.942135,0.63,-2.344,2.003
0.952638,0.63,-2.607,1.886
0.963141,0.7,-2.51,1.334
0.973644,1.33,-2.153,1.326
0.984183,1.26,-2.048,1.132
0.994722,1.33,-1.589,1.355
1.005261,1.19,-1.52,1.367
1.0158,1.19,-1.233,1.346
1.026339,1.19,-1.168,1.784
1.036878,0.98,-0.478,1.906
1.047417,0.84,-0.158,2.105
1.057956,0.42,-0.113,2.255
1.068495,0.28,-0.166,1.748
1.079034,0.21,-0.028,1.772
1.089573,0.14,-0.04,1.841
1.100112,0.28,-0.134,1.967
1.110661,0.63,-0.271,1.942
1.12121,0.77,-0.604,1.813
1.131759,1.05,-0.705,1.582
1.142308,0.63,-0.912,1.545
1.152857,0.7,-0.726,1.294
1.163406,1.05,-1.172,1.002
1.173955,1.12,-1.301,1.334
1.184504,1.05,-1.305,1.76
1.195053,1.33,-1.2,1.565
1.205602,1.54,-0.807,1.35
1.216151,1.75,-0.831,1.488
1.2267,2.03,-1.172,1.002
1.237249,2.03,-0.92,1.188
1.247816,2.31,-0.689,1.087
1.258383,2.24,-0.584,0.892
1.26895,2.8,-0.418,0.353
1.279517,2.59,-0.215,0.815
1.290084,2.52,-0.511,0.479
1.300651,2.38,-0.178,0.608
1.311218,2.31,-0.154,0.47
1.321785,2.8,-0.361,0.434
1.332352,2.38,-0.04,0.633
1.342919,2.52,-0.004,0.426
1.353486,2.52,-0.523,0.547
1.364053,2.1,-0.365,0.86
1.374611,1.96,-0.523,0.547
1.385169,1.82,-0.405,0.284
1.395727,1.68,-0.454,0.56
1.406285,1.47,-0.377,0.929
1.416843,0.84,-0.754,0.649
1.427401,1.05,-0.973,0.681
1.437959,1.26,-0.868,0.487
1.448517,0.77,-0.722,0.868
1.459075,0.84,-0.397,0.641
1.469633,1.12,-0.353,0.791
1.480191,0.77,-0.227,0.884
1.490749,0.77,-0.227,0.884
1.501307,0.63,-0.215,0.815
1.511874,0.77,-0.215,0.815
1.522441,0.84,-0.527,0.973
1.533008,0.98,0.016,0.714
1.543575,1.19,-0.032,0.989
1.554142,1.33,-0.069,1.196
1.564709,1.33,-0.353,0.791
1.575276,1.54,-0.134,0.758
1.585843,1.75,-0.158,0.896
1.59641,1.68,-0.207,1.172
1.606977,1.26,-0.243,1.379
1.617544,1.12,-0.207,1.172
1.628111,1.19,-0.389,0.998
1.638655,1.12,-0.409,0.71
1.649199,0.91,0.122,0.519
1.659743,0.91,0.341,0.487
1.670287,0.84,-0.203,0.746
1.680831,0.77,-0.288,1.229
1.691375,0.77,-0.43,1.63
1.701919,1.26,-0.636,1.594
1.712463,1.4,-0.936,1.683
1.723007,1.4,-0.928,2.04
1.733551,1.33,-1.273,1.979
1.744095,1.4,-1.05,1.521
1.754639,1.47,-1.314,1.403
1.765183,1.47,-1.37,1.322
1.775739,1.4,-1.358,1.253
1.786295,1.4,-1.147,0.864
1.796851,0.98,-1.058,1.164
1.807407,1.12,-0.774,1.569
1.817963,0.98,-0.612,1.456
1.828519,0.7,-0.482,1.123
1.839075,0.35,-0.158,0.896
1.849631,0.21,0.126,1.302
1.860187,0.07,0.471,1.362
1.870743,0.14,0.353,1.626
1.881299,-0.14,0.308,1.476
1.891855,0.07,-0.085,1.691
1.902424,0.0,-0.016,1.703
1.912993,-0.42,-0.361,1.642
1.923562,-0.35,-0.43,1.63
1.934131,-0.28,-0.511,1.687
1.9447,-0.07,-0.762,1.5
1.955269,-0.07,-0.693,1.513
1.965838,-0.14,-0.774,1.569
1.976407,0.0,-1.078,2.084
1.986976,-0.14,-1.196,2.348
1.997545,-0.35,-1.265,2.336
2.008114,0.14,-1.204,1.991
2.018683,0.14,-1.155,1.715
2.029227,0.49,-1.314,1.403
2.039771,0.42,-0.981,1.533
2.050315,0.7,-0.888,1.407
2.060859,0.7,-0.762,1.5
2.071403,1.05,-0.495,1.192
2.081947,0.98,-0.807,1.35
2.092491,0.77,-1.164,1.359
2.103035,0.98,-0.807,1.35
2.113579,0.7,-0.701,1.156
2.124123,0.63,-0.701,1.156
2.134667,0.63,-0.551,1.111
2.145211,0.77,-0.803,0.925
2.155755,0.63,-0.835,0.706
2.166267,0.77,-0.815,0.994
2.176779,0.49,-0.803,0.925
2.187291,0.49,-0.515,0.904
2.197803,0.56,-0.916,0.762
2.208315,0.42,-0.973,0.681
2.218827,0.07,-0.559,0.754
2.229339,-0.21,-0.158,0.896
2.239851,-0.21,-0.535,0.616
2.250363,-0.49,-0.02,0.92
2.260875,-1.26,0.073,0.795
2.271387,-1.4,0.268,0.9
2.281899,-1.89,0.544,0.949
2.292411,-2.1,0.892,0.584
2.302886,-2.73,0.787,0.778
2.313361,-3.64,0.945,1.091
2.323836,-4.55,1.59,1.062
2.334311,-5.53,2.178,0.953
2.344786,-5.95,2.701,1.614
2.355261,-6.23,3.118,1.261
2.365736,-6.65,3.828,1.67
2.376211,-6.72,4.607,2.092
2.386686,-6.16,5.474,1.605
2.397161,-5.32,6.237,1.313
2.407636,-5.25,6.971,1.585
2.418111,-4.2,7.762,1.937
2.428586,-3.22,7.863,2.168
2.439062,-2.03,8.199,1.872
2.449538,-0.77,8.345,2.253
2.460014,-0.91,8.65,2.947
2.47049,-0.63,8.544,3.141
2.480966,-0.35,8.524,2.854
2.491442,0.0,8.281,3.024
2.501918,1.33,8.273,2.667
2.512394,2.52,7.782,2.225
2.52287,4.41,7.417,1.876
2.533346,6.37,7.328,1.576
2.543822,8.05,6.549,1.155
2.554298,9.52,6.229,0.956
2.564774,10.22,5.507,0.616
2.57523,10.71,4.68,0.47
2.585686,10.08,3.966,0.486
2.596142,9.17,3.285,0.721
2.606598,8.4,2.964,1.731
2.617054,7.42,4.25,3.308
2.62751,7.0,6.294,6.228
2.637966,7.56,9.255,9.593
2.648422,8.96,12.759,12.698
2.658878,10.22,16.494,14.494
2.669334,10.99,19.527,16.238
2.67979,11.06,22.662,17.003
2.690246,10.64,25.046,17.993
2.700702,8.75,26.255,17.992
2.711158,4.41,25.484,17.928
2.721646,2.73,23.951,16.947
2.732134,1.61,22.402,15.252
2.742622,1.05,20.508,13.496
2.75311,0.84,18.375,11.485
2.763598,2.66,15.816,9.47
2.774086,4.48,13.788,7.265
2.784574,5.04,11.225,5.675
2.795062,5.74,8.451,4.476
2.80555,5.46,5.434,3.446
2.816038,3.92,2.94,3.077
2.826526,2.31,0.933,2.368
2.83704,1.47,-0.912,1.545
2.847554,1.19,-2.903,0.341
2.858068,1.54,-4.355,0.512
2.868582,2.17,-5.413,0.467
2.879096,1.89,-5.884,0.313
2.88961,2.17,-6.46,0.354
2.900124,1.61,-5.843,0.889
2.910638,1.05,-5.47,1.594
2.921152,0.56,-4.663,2.661
2.931666,0.0,-4.079,2.977
2.94218,0.0,-3.414,3.236
2.952694,0.07,-2.915,2.827
2.963208,-0.21,-2.603,2.669
2.973781,-1.12,-2.072,2.478
2.984354,-1.54,-2.06,2.409
2.994927,-1.68,-2.287,2.085
3.0055,-1.54,-2.753,1.505
3.016073,-1.26,-2.567,1.253
3.026646,-1.4,-2.473,1.128
3.037219,-2.38,-2.368,0.933
3.047792,-3.15,-2.19,0.325
3.058365,-3.64,-2.303,0.163
3.068938,-4.62,-1.983,0.361
3.079511,-4.62,-1.805,-0.247
3.090084,-4.27,-1.513,-0.693
3.100677,-3.57,-1.018,-0.677
3.11127,-2.59,-1.018,-0.677
3.121863,-1.96,-0.925,-0.803
3.132456,-1.4,-1.014,-1.103
3.143049,-0.84,-1.095,-1.046
3.153642,-0.84,-1.269,-0.864
3.164235,-1.19,-1.35,-0.807
3.174828,-1.47,-1.488,-0.831
3.185421,-1.89,-1.926,-0.766
3.196014,-1.75,-1.813,-0.604
3.206607,-1.68,-2.283,-0.758
3.2172,-2.17,-2.023,-0.215
3.227793,-2.59,-2.186,-0.101
3.238386,-2.8,-2.275,-0.401
3.248987,-3.22,-2.234,0.175
3.259588,-3.5,-2.55,0.759
3.270189,-3.78,-2.092,0.982
3.28079,-4.06,-2.023,0.994
3.291391,-3.99,-1.91,1.156
3.301992,-4.13,-2.21,1.245
3.312593,-4.2,-1.95,1.789
3.323194,-3.92,-2.202,1.602
3.333795,-3.85,-2.85,2.056
3.344396,-4.13,-2.923,2.47
3.354997,-4.27,-3.146,2.928
3.365598,-4.48,-3.641,2.912
3.376235,-4.41,-3.763,2.393
3.386872,-3.78,-4.034,1.919
3.397509,-2.94,-3.949,1.436
3.408146,-1.82,-4.002,0.929
3.418783,-0.7,-3.589,1.002
3.42942,0.21,-3.52,1.014
3.440057,0.7,-2.705,1.229
3.450694,0.63,-2.473,1.128
3.461331,0.98,-2.356,0.864
3.471968,1.33,-1.748,1.042
3.482605,1.54,-1.245,1.415
3.493242,1.4,-0.588,1.318
3.503879,1.12,0.081,1.152
3.514509,0.84,0.191,1.74
3.525139,0.14,-0.056,2.336
3.535769,-0.28,-0.413,2.344
3.546399,-0.14,-0.778,1.995
3.557029,0.42,-1.038,2.66
3.567659,0.28,-1.52,2.575
3.578289,0.0,-1.966,2.283
3.588919,-0.14,-2.36,1.29
3.599549,0.14,-2.522,1.403
3.610179,-0.28,-3.077,1.732
3.620809,-0.14,-3.122,1.582
3.631439,0.84,-3.406,1.176
3.642069,1.82,-3.479,1.59
3.652712,2.45,-2.826,1.918
3.663355,2.8,-2.729,1.367
3.673998,2.59,-1.918,0.799
3.684641,2.17,-1.075,0.45
3.695284,1.61,-0.089,0.908
3.705927,0.77,0.191,1.74
3.71657,0.14,0.767,1.699
3.727213,0.14,1.123,1.691
3.737856,-0.14,1.379,1.451
3.748499,-0.56,1.083,1.115
3.759142,-0.77,1.371,1.095
3.769785,-0.98,1.614,0.924
3.780435,-1.47,1.557,0.843
3.791085,-1.96,0.819,0.997
3.801735,-2.38,0.738,1.054
3.812385,-2.59,1.026,1.034
3.823035,-3.01,1.245,1.001
3.833685,-3.43,1.383,1.026
3.844335,-3.64,1.756,0.523
3.854985,-4.06,2.088,0.653
3.865635,-4.69,2.251,0.539
3.876285,-5.32,2.652,0.681
3.886935,-6.3,3.159,0.628
3.897585,-7.28,3.423,0.746
3.908235,-8.4,3.824,0.888
3.918885,-9.24,4.262,0.823
3.929522,-10.71,4.457,0.928
3.940159,-12.25,5.032,0.887
3.950796,-14.0,5.215,1.062
3.961433,-15.61,5.872,0.964
3.97207,-17.22,6.435,0.993
3.982707,-19.25,7.129,1.897
3.993344,-20.86,7.851,2.237
4.003981,-22.61,8.175,2.01
4.014618,-24.36,8.633,2.233
4.025255,-25.69,9.298,2.493
4.035892,-27.23,9.769,2.647
4.046529,-28.91,10.434,2.906
4.057152,-30.73,10.791,2.898
4.067775,-32.97,10.844,3.405
4.078398,-34.65,11.2,3.397
4.089021,-36.75,11.306,3.202
4.099644,-38.22,11.269,3.409
4.110267,-39.55,11.375,3.214
4.12089,-40.39,11.354,2.926
4.131513,-41.02,11.188,2.257
4.142136,-41.79,10.628,1.803
4.152759,-42.28,10.231,1.235
4.163382,-42.21,9.862,1.312
4.174005,-41.86,9.388,1.584
4.184628,-41.02,8.617,1.519
4.195242,-40.04,8.001,0.984
4.205856,-39.06,7.295,1.357
4.21647,-37.24,6.075,1.427
4.227084,-35.77,5.884,2.104
4.237698,-34.09,5.357,1.869
4.248312,-32.13,4.915,1.151
4.258926,-30.52,4.781,0.701
4.26954,-28.56,4.538,0.871
4.280154,-26.04,4.339,1.192
4.290768,-23.87,4.002,1.488
4.301382,-21.84,3.682,1.289
4.311996,-19.11,3.118,1.261
4.32261,-16.8,3.196,1.63
4.333177,-14.49,2.523,2.222
4.343744,-12.32,2.028,2.206
4.354311,-10.57,1.257,2.141
4.364878,-8.61,0.45,2.283
4.375445,-7.49,-0.519,2.538
4.386012,-6.16,-1.208,2.417
4.396579,-4.27,-1.662,1.768
4.407146,-2.87,-2.222,1.314
4.417713,-1.61,-2.956,1.043
4.42828,-0.35,-3.532,1.083
4.438847,0.49,-3.507,0.945
4.449414,1.96,-3.889,1.091
4.459981,3.36,-3.795,0.966
4.470516,4.9,-3.066,0.455
4.481051,6.58,-2.563,-0.381
4.491586,7.98,-1.646,-1.143
4.502121,7.98,-1.379,-1.451
4.512656,8.89,-0.645,-2.388
4.523191,10.57,0.068,-3.613
4.533726,14.21,0.729,-4.136
4.544261,19.39,1.05,-3.938
4.554796,23.52,1.184,-3.487
4.565331,26.18,1.082,-3.719
4.575866,27.72,1.179,-4.27
4.586401,29.61,1.139,-4.846
4.596906,31.99,0.595,-4.586
4.607411,33.11,-0.272,-4.1
4.617916,32.97,-1.517,-3.893
4.628421,32.34,-2.932,-3.929
4.638926,30.66,-4.234,-3.803
4.649431,28.42,-4.793,-3.049
4.659936,26.11,-5.633,-3.126
4.670441,23.03,-5.969,-2.83
4.680946,21.07,-6.091,-2.14
4.691451,19.39,-6.711,-1.041
4.701956,17.92,-7.173,-0.838
4.712461,16.1,-7.441,-0.53
4.722966,14.7,-6.881,-0.076
4.733462,13.23,-6.293,-0.186
4.743958,12.53,-6.083,-0.575
4.754454,12.18,-5.791,-1.021
4.76495,11.62,-5.186,-0.417
4.775446,11.62,-4.744,0.301
4.785942,12.39,-4.124,0.41
4.796438,13.09,-3.686,0.345
4.806934,14.77,-2.94,0.548
4.81743,16.17,-2.234,0.175
4.827926,18.2,-1.906,0.73
4.838422,19.11,-1.379,0.965
4.848918,19.74,-0.799,0.499
4.859414,20.3,-0.543,0.26
4.869861,21.07,-0.231,0.101
4.880308,20.86,-0.024,0.138
4.890755,19.81,0.308,0.268
