Time,AccelerometerX,AccelerometerY,AccelerometerZ 
-0.051577,-0.039,-10.068,2.208
-0.041687,-0.039,-10.089,2.324
-0.031797,-0.039,-10.114,2.24
-0.021907,-0.039,-10.121,2.278
-0.012017,0.0,-10.187,2.426
-0.002127,0.039,-10.166,2.31
0.007763,0.039,-10.141,2.394
0.017653,-0.039,-10.102,2.401
0.027543,-0.039,-10.116,2.478
0.037433,-0.078,-10.102,2.401
0.047323,-0.118,-10.141,2.394
0.057213,-0.118,-10.082,2.285
0.067103,-0.118,-10.068,2.208
0.076993,-0.157,-10.016,2.137
0.086883,-0.157,-9.971,2.106
0.096773,-0.118,-9.887,2.081
0.106663,-0.118,-9.873,2.003
0.116553,-0.078,-9.907,2.196
0.126457,-0.039,-9.907,2.196
0.136361,-0.078,-9.887,2.081
0.146265,-0.118,-9.887,2.081
0.156169,-0.118,-9.893,2.119
0.166073,-0.157,-9.855,2.126
0.175977,-0.157,-9.834,2.01
0.185881,-0.157,-9.834,2.01
0.195785,-0.118,-9.828,1.971
0.205689,-0.118,-9.821,1.933
0.215593,-0.157,-9.873,2.003
0.225497,-0.118,-9.834,2.01
0.235401,-0.118,-9.803,2.056
0.245305,-0.157,-9.828,1.971
0.255195,-0.157,-9.825,1.733
0.265085,-0.118,-9.905,1.958
0.274975,-0.157,-9.878,1.803
0.284865,-0.157,-9.839,1.81
0.294755,-0.118,-9.846,1.849
0.304645,-0.157,-9.8,1.817
0.314535,-0.118,-9.709,1.753
0.324425,-0.157,-9.703,1.715
0.334315,-0.157,-9.664,1.722
0.344205,-0.157,-9.664,1.722
0.354095,-0.235,-9.762,1.824
0.363985,-0.196,-9.839,1.81
0.373875,-0.196,-9.909,1.758
0.383765,-0.157,-9.871,1.765
0.393643,-0.078,-9.819,1.694
0.403521,-0.078,-9.787,1.74
0.413399,-0.118,-9.678,1.799
0.423277,-0.078,-9.716,1.792
0.433155,-0.118,-9.691,1.876
0.443033,-0.157,-9.607,1.851
0.452911,-0.196,-9.582,1.935
0.462789,-0.235,-9.582,1.935
