Time,PupilDiaL,PupilDiaR,GazePosX,GazePosY,GazePos3DX,GazePos3DY,GazePos3DZ,GazeDirectionLX,GazeDirectionLY,GazeDirectionLZ,GazeDirectionRX,GazeDirectiomRY,GazeDirectionRZ,PupilCenterLX,PupilCenterLY,PupilCenterLZ,PupilCenterRX,PupilCenterRY,PupilCenterRZ 
-0.099977,4.28,4.4,968.8320000000001,684.612,-5.97,-39.29,328.6,-0.1036,-0.0407,0.9938,0.0724,-0.0337,0.9968,32.22,-25.85,-37.36,-32.43,-32.43,-25.46,-34.94
-0.079986,4.3,4.42,969.0240000000001,676.512,-6.03,-37.49,333.18,-0.1026,-0.0341,0.9941,0.0714,-0.0298,0.997,32.22,-25.81,-37.38,-32.43,-32.43,-25.45,-34.94
-0.059987,4.32,4.49,971.712,663.5519999999999,-6.8,-33.72,333.51,-0.1043,-0.0267,0.9942,0.0691,-0.017,0.9975,32.21,-25.77,-37.4,-32.45,-32.45,-25.41,-34.96
-0.039996,4.34,4.52,973.632,656.316,-7.29,-31.57,333.18,-0.1056,-0.0217,0.9942,0.0678,-0.0107,0.9976,32.2,-25.72,-37.42,-32.46,-32.46,-25.38,-34.97
-0.019996,4.38,4.53,976.5120000000001,653.8320000000001,-7.95,-30.23,326.74,-0.1094,-0.0165,0.9939,0.0674,-0.0092,0.9977,32.18,-25.68,-37.45,-32.47,-32.47,-25.38,-34.97
-6.0E-6,4.41,4.54,979.008,653.292,-8.54,-29.53,321.0,-0.1127,-0.0148,0.9935,0.0669,-0.0075,0.9977,32.18,-25.66,-37.45,-32.47,-32.47,-25.37,-34.98
0.019994,4.42,4.58,981.312,649.404,-9.2,-28.52,322.02,-0.114,-0.0139,0.9934,0.0647,-0.0028,0.9979,32.18,-25.65,-37.46,-32.49,-32.49,-25.34,-35.0
0.039984,4.46,4.62,978.0479999999999,639.5759999999999,-9.05,-28.28,353.55,-0.1049,-0.0105,0.9944,0.0599,-0.0042,0.9982,32.25,-25.58,-37.48,-32.41,-32.41,-25.23,-35.1
0.059984,4.46,4.63,914.496,571.5360000000001,11.13,-7.46,352.43,-0.0543,0.044,0.9976,0.1109,0.047,0.9927,32.39,-25.41,-37.56,-32.18,-32.18,-25.04,-35.16
0.079974,4.51,4.66,891.264,540.7560000000001,18.3,1.95,348.87,-0.0365,0.0694,0.9969,0.1298,0.0704,0.989,32.47,-25.36,-37.55,-32.09,-32.09,-24.97,-35.16
