Time,GyroscopeX,GyroscopeY,GyroscopeZ 
-0.144017,17.36,-1.951,-1.837
-0.133557,16.87,-0.001,-3.625
-0.123097,16.66,2.084,-4.964
-0.112637,17.01,4.034,-5.544
-0.102177,17.78,5.226,-5.049
-0.091717,18.41,6.293,-4.648
-0.081257,17.85,6.751,-3.217
-0.070797,17.5,6.585,-1.469
-0.060337,17.01,6.638,0.246
-0.049877,16.17,6.334,1.97
-0.039417,14.84,5.114,3.247
-0.028957,13.02,3.962,4.537
-0.018497,10.71,2.746,5.389
-0.008022,8.33,1.615,5.758
0.002453,6.37,0.666,6.301
0.012928,4.06,-0.263,7.133
0.023403,1.89,-0.996,8.07
0.033878,0.14,-0.867,7.737
0.044353,-1.89,-0.701,5.989
0.054828,-4.06,-0.21,4.014
0.065303,-6.51,0.377,2.697
0.075778,-9.38,0.937,1.942
0.086253,-12.81,1.862,2.745
0.096728,-15.89,1.558,4.468
0.107203,-18.41,1.449,6.297
0.11767,-19.46,0.982,8.134
0.128137,-19.18,1.173,9.874
0.138604,-17.64,1.502,10.429
0.149071,-15.4,2.28,9.642
0.159538,-12.67,3.642,7.963
0.170005,-10.29,4.972,6.066
0.180472,-9.03,6.116,4.419
0.190939,-9.03,6.675,3.665
0.201406,-10.36,7.052,3.945
0.211873,-12.04,6.991,4.289
0.22234,-13.93,6.29,4.237
0.232807,-15.19,6.335,4.387
0.243274,-15.82,5.848,4.727
0.253772,-15.54,5.28,5.125
0.26427,-14.91,4.875,5.409
0.274768,-13.86,4.19,6.07
0.285266,-12.74,3.707,7.193
0.295764,-11.34,3.115,7.728
0.306262,-10.5,3.18,8.166
0.31676,-9.17,3.079,7.935
0.327258,-8.75,2.884,7.83
0.337756,-8.68,2.868,7.116
0.348254,-8.82,3.529,6.593
0.358752,-9.52,3.65,5.904
0.36925,-10.57,4.185,5.287
0.379776,-11.83,5.033,4.513
0.390302,-13.44,5.844,3.945
0.400828,-15.47,6.687,3.596
0.411354,-17.64,7.048,3.162
0.42188,-20.09,7.754,2.789
0.432406,-22.82,8.423,2.622
0.442932,-26.25,8.5,2.991
0.453458,-30.03,8.439,3.336
0.463984,-33.67,8.893,3.985
0.47451,-37.17,8.715,4.593
0.485036,-40.6,8.378,4.889
0.495562,-43.61,8.849,5.043
0.506088,-46.9,8.557,5.489
0.516608,-49.28,8.22,5.785
0.527128,-51.24,8.123,6.337
0.537648,-53.97,8.143,6.625
0.548168,-55.93,7.495,7.079
0.558688,-57.61,6.878,7.752
0.569208,-58.87,6.145,8.689
0.579728,-59.85,5.536,9.719
0.590248,-59.64,4.839,10.449
0.600768,-58.38,4.409,10.871
0.611288,-57.05,3.57,10.794
0.621808,-54.95,3.513,10.713
0.632328,-52.43,3.136,10.433
0.642848,-49.84,2.657,9.922
0.653368,-47.39,2.191,9.342
0.663912,-45.01,2.021,9.099
0.674456,-43.19,1.287,8.828
0.685,-41.51,1.242,8.678
0.695544,-39.41,0.982,8.134
0.706088,-37.31,0.621,7.36
0.716632,-35.49,0.573,6.427
0.727176,-33.46,-0.019,5.754
0.73772,-31.57,-0.36,5.267
0.748264,-29.82,-0.717,5.276
0.758808,-28.14,-0.887,5.032
0.769352,-26.67,-0.855,4.043
0.779886,-25.06,-1.249,3.05
0.79042,-23.52,-1.261,1.91
0.800954,-22.05,-1.326,1.472
0.811488,-21.07,-1.873,0.949
0.822022,-20.3,-2.299,0.945
0.832556,-19.53,-2.372,1.359
0.84309,-18.48,-2.283,1.659
0.853624,-17.43,-2.092,0.982
0.864158,-16.24,-1.95,0.58
0.874692,-15.33,-1.756,0.686
0.885226,-13.79,-1.456,0.596
0.89576,-12.6,-1.306,0.552
0.906294,-11.9,-0.734,0.937
0.916849,-11.55,-0.316,0.584
0.927404,-10.92,-0.085,0.483
0.937959,-11.13,-0.085,0.483
0.948514,-10.29,0.097,0.657
0.959069,-9.24,0.377,0.28
0.969624,-8.26,-0.114,-0.162
0.980179,-6.79,-0.215,-0.393
0.990734,-5.18,-0.146,-0.381
1.001289,-3.85,-0.466,-0.58
1.011844,-2.87,-0.742,-0.628
1.022399,-2.38,-1.213,-0.782
1.032954,-1.96,-1.488,-0.831
1.043496,-1.75,-1.744,-0.592
1.054038,-1.4,-2.121,-0.872
1.06458,-1.19,-2.072,-1.147
1.075122,-1.12,-2.368,-1.484
1.085664,-1.05,-2.729,-1.05
1.096206,-1.05,-2.794,-1.488
1.106748,-0.84,-3.123,-2.043
1.11729,-0.42,-3.038,-2.526
1.127832,-0.21,-2.928,-3.146
1.138374,0.21,-3.111,-3.321
1.148916,1.12,-3.2,-3.621
1.159458,2.17,-3.09,-3.033
1.17,2.94,-3.784,-2.728
1.180542,3.15,-3.901,-2.465
1.191075,3.78,-4.319,-2.112
1.201608,4.13,-3.946,-1.407
1.212141,4.69,-3.763,-1.232
1.222674,4.9,-3.796,-1.451
1.233207,5.11,-3.252,-1.711
1.24374,5.11,-2.445,-1.853
1.254273,4.9,-2.527,-1.796
1.264806,4.83,-2.271,-2.035
1.275339,5.46,-1.691,-1.293
1.285872,5.6,-1.857,-0.754
1.296405,6.37,-1.342,-0.45
1.306938,6.86,-0.758,-0.134
1.317441,7.07,0.126,0.093
1.327944,7.21,0.199,-0.32
1.338447,7.07,0.543,-0.26
1.34895,6.93,1.111,-0.657
1.359453,6.72,1.273,-0.771
1.369956,6.58,1.135,-0.795
1.380459,5.39,0.953,-0.969
1.390962,4.55,0.77,-1.144
1.401465,3.5,0.588,-1.318
1.411968,2.24,0.085,-1.691
1.422471,1.54,-0.167,-1.877
1.432974,1.12,-0.519,-2.295
1.443477,1.19,-1.006,-1.954
