Consec,StartHz,Start,EndHz,End,Classification,Command
1.00,105.00,2.01,110.00,2.02,ActivatingGoogleHome,"""Hey Google"""
2.00,110.00,2.02,115.00,2.03,GoogleHomeSpeaking,-Google home activated
3.00,115.00,2.03,140.00,2.08,InteractingWithGoogleHome,"""What's the weather for today?"""
4.00,140.00,2.08,190.00,2.18,GoogleHomeSpeaking,-Google says weather
5.00,250.00,2.30,260.00,2.32,ActivatingGoogleHome,"""Hey Google"""
6.00,260.00,2.32,260.00,2.32,GoogleHomeSpeaking,-Google home activated
7.00,260.00,2.32,255.00,2.31,InteractingWithGoogleHome,"""When are the next US elections?"""
8.00,255.00,2.31,280.00,2.36,InteractingWithGoogleHome,"""When are the next US elections?"""
9.00,280.00,2.36,315.00,2.43,GoogleHomeSpeaking,-Google says when are the next US elections
10.00,370.00,2.54,190.00,3.08,Reading,*Participant reads
11.00,220.00,3.14,225.00,3.15,WaitingForGoogleHome,...stand by...
12.00,225.00,3.15,230.00,3.16,ActivatingGoogleHome,"""Hey Google"""
13.00,230.00,3.16,235.00,3.17,GoogleHomeSpeaking,-Google home activated
14.00,235.00,3.17,245.00,3.19,InteractingWithGoogleHome,"""Open voice calendar"""
15.00,245.00,3.19,275.00,3.25,GoogleHomeSpeaking,-Google search thinks while participant waits
16.00,275.00,3.25,300.00,3.30,GoogleHomeSpeaking,-Text version of voice calendar
17.00,300.00,3.30,310.00,3.32,GoogleHomeSpeaking,-Welcome to voice calendar
18.00,315.00,3.33,325.00,3.35,InteractingWithGoogleHome,"""I would like to add a new event"""
19.00,330.00,3.36,340.00,3.38,GoogleHomeSpeaking,"-""Whats the day of the event?"""
20.00,345.00,3.39,350.00,3.40,InteractingWithGoogleHome,"""Next monday"""
21.00,355.00,3.41,365.00,3.43,GoogleHomeSpeaking,"-""At what time?"""
22.00,365.00,3.43,370.00,3.44,InteractingWithGoogleHome,"""10 AM"""
23.00,375.00,3.45,390.00,3.48,GoogleHomeSpeaking,"-""What is the name of the event"""
24.00,390.00,3.48,400.00,3.50,InteractingWithGoogleHome,"""Programming course"""
25.00,400.00,3.50,410.00,3.52,GoogleHomeSpeaking,"-""Whats the day of the event?"""
26.00,410.00,3.52,445.00,3.59,,Cancel
27.00,445.00,3.59,270.00,4.14,WaitingForGoogleHome,...stand by...
28.00,275.00,4.15,280.00,4.16,ActivatingGoogleHome,"""Hey Google, open voice calendar"""
29.00,290.00,4.18,330.00,4.26,GoogleHomeSpeaking,"-""Here's a test version of voice calendar, What would you like to do?"""
30.00,330.00,4.26,340.00,4.28,InteractingWithGoogleHome," ""Create a new event"""
31.00,345.00,4.29,355.00,4.31,GoogleHomeSpeaking,"-""Whats the day of the event?"""
32.00,360.00,4.32,365.00,4.33,InteractingWithGoogleHome,"""Next monday"""
33.00,370.00,4.34,375.00,4.35,GoogleHomeSpeaking,"-""At what time?"""
34.00,380.00,4.36,385.00,4.37,InteractingWithGoogleHome,"""10 AM"""
35.00,395.00,4.39,400.00,4.40,GoogleHomeSpeaking,"-""What is the name of the event"""
36.00,405.00,4.41,410.00,4.42,InteractingWithGoogleHome,"""Introduction to programming"""
