Consec,StartHz,Start,EndHz,End,Classification,Task,Command
1.00,24.50,0.49,100.00,1.10,Baseline,Introduction to programming,
2.00,265.00,1.43,105.00,2.01,Baseline,Introduction to programming,
3.00,110.00,2.02,120.00,2.04,UserSpeaking,Introduction to programming,"""Hey Google, open Voice Calendar"""
4.00,125.00,2.05,135.00,2.07,Baseline,Introduction to programming,
5.00,140.00,2.08,175.00,2.15,GoogleHomeSpeaking,Introduction to programming,-Google home activated
6.00,175.00,2.15,180.00,2.16,Baseline,Introduction to programming,
7.00,185.00,2.17,190.00,2.18,UserSpeaking,Introduction to programming,"""Create new event"""
8.00,190.00,2.18,205.00,2.21,GoogleHomeSpeaking,Introduction to programming,"""Hey Google"""
9.00,205.00,2.21,210.00,2.22,Baseline,Introduction to programming,-Google home activated
10.00,210.00,2.22,215.00,2.23,UserSpeaking,Introduction to programming,"""When are the next US elections?"""
11.00,215.00,2.23,225.00,2.25,GoogleHomeSpeaking,Introduction to programming,
12.00,230.00,2.26,235.00,2.27,UserSpeaking,Introduction to programming,
13.00,235.00,2.27,275.00,2.35,Baseline,Introduction to programming,
14.00,275.00,2.35,285.00,2.37,GoogleHomeSpeaking,Introduction to programming,
15.00,290.00,2.38,295.00,2.39,UserSpeaking,Introduction to programming,
16.00,300.00,2.40,305.00,2.41,Baseline,Introduction to programming,
17.00,305.00,2.41,315.00,2.43,GoogleHomeSpeaking,Introduction to programming,
18.00,0.00,,0.00,,,,
19.00,0.00,,0.00,,,,
20.00,0.00,,0.00,,,,
21.00,0.00,,0.00,,,,
22.00,0.00,,0.00,,,,
23.00,0.00,,0.00,,,,
24.00,0.00,,0.00,,,,
25.00,0.00,,0.00,,,,
26.00,0.00,,0.00,,,,
27.00,0.00,,0.00,,,,
28.00,0.00,,0.00,,,,
29.00,0.00,,0.00,,,,
30.00,0.00,,0.00,,,,
31.00,0.00,,0.00,,,,
32.00,0.00,,0.00,,,,
33.00,0.00,,0.00,,,,
34.00,0.00,,0.00,,,,
35.00,0.00,,0.00,,,,
36.00,0.00,,0.00,,,,
37.00,0.00,,0.00,,,,
38.00,0.00,,0.00,,,,
39.00,0.00,,0.00,,,,
40.00,0.00,,0.00,,,,
41.00,0.00,,0.00,,,,
42.00,0.00,,0.00,,,,
43.00,0.00,,0.00,,,,
44.00,0.00,,0.00,,,,
45.00,0.00,,0.00,,,,
46.00,0.00,,0.00,,,,
47.00,0.00,,0.00,,,,
48.00,0.00,,0.00,,,,
49.00,0.00,,0.00,,,,
50.00,0.00,,0.00,,,,
51.00,0.00,,0.00,,,,
52.00,0.00,,0.00,,,,
53.00,0.00,,0.00,,,,
54.00,0.00,,0.00,,,,
55.00,0.00,,0.00,,,,
56.00,0.00,,0.00,,,,
57.00,0.00,,0.00,,,,
58.00,0.00,,0.00,,,,
59.00,0.00,,0.00,,,,
60.00,0.00,,0.00,,,,
61.00,0.00,,0.00,,,,
62.00,0.00,,0.00,,,,
63.00,0.00,,0.00,,,,
64.00,0.00,,0.00,,,,
65.00,0.00,,0.00,,,,
66.00,0.00,,0.00,,,,
67.00,0.00,,0.00,,,,
68.00,0.00,,0.00,,,,
69.00,0.00,,0.00,,,,
70.00,0.00,,0.00,,,,
71.00,0.00,,0.00,,,,
72.00,0.00,,0.00,,,,
73.00,0.00,,0.00,,,,
74.00,0.00,,0.00,,,,
75.00,0.00,,0.00,,,,
76.00,0.00,,0.00,,,,
77.00,0.00,,0.00,,,,
78.00,0.00,,0.00,,,,
79.00,0.00,,0.00,,,,
80.00,0.00,,0.00,,,,
81.00,0.00,,0.00,,,,
82.00,0.00,,0.00,,,,
83.00,0.00,,0.00,,,,
84.00,0.00,,0.00,,,,
85.00,0.00,,0.00,,,,
86.00,0.00,,0.00,,,,
87.00,0.00,,0.00,,,,
88.00,0.00,,0.00,,,,
89.00,0.00,,0.00,,,,
90.00,0.00,,0.00,,,,
91.00,0.00,,0.00,,,,
92.00,0.00,,0.00,,,,
93.00,0.00,,0.00,,,,
94.00,0.00,,0.00,,,,
95.00,0.00,,0.00,,,,
96.00,0.00,,0.00,,,,
97.00,0.00,,0.00,,,,
