Consec,StartHz,Start,EndHz,End,Classification,Task,Command
1,0,0,13.5,0.27,Baseline,Introduction to programming,
2,13.5,0.27,14,0.28,UserSpeaking,Introduction to programming,
3,14,0.28,14.5,0.29,Baseline,Introduction to programming,"""Hey Google, open Voice Calendar"""
4,15,0.3,15.5,0.31,UserSpeaking,Introduction to programming,
5,16.5,0.33,21,0.42,GoogleHomeSpeaking,Introduction to programming,-Google home activated
6,21.5,0.43,27.5,0.55,Baseline,Introduction to programming,
7,27.5,0.55,50.5,1.01,UserSpeaking,Introduction to programming,"""Create new event"""
8,50.5,1.01,70,1.04,Baseline,Introduction to programming,"""Hey Google"""
9,52,1.04,160,1.22,GoogleHomeSpeaking,Introduction to programming,-Google home activated
10,61.5,1.23,165,3.03,Baseline,Introduction to programming,"""When are the next US elections?"""
11,151.5,3.03,175,3.05,UserSpeaking,Introduction to programming,
12,152.5,3.05,190,3.08,Baseline,Introduction to programming,
13,154,3.08,225,3.15,GoogleHomeSpeaking,Introduction to programming,
14,157.5,3.15,235,3.17,UserSpeaking,Introduction to programming,
15,158.5,3.17,290,3.28,GoogleHomeSpeaking,Introduction to programming,
16,164,3.28,525,5.55,Baseline,Introduction to programming,
17,277.5,5.55,540,5.58,UserSpeaking,Introduction to programming,
18,279,5.58,335,6.07,GoogleHomeSpeaking,,
19,303.5,6.07,345,6.09,UserSpeaking,,
20,304.5,6.09,360,6.12,GoogleHomeSpeaking,,
21,306,6.12,390,6.18,UserSpeaking,,
22,309,6.18,405,6.21,GoogleHomeSpeaking,,
23,310.5,6.21,410,6.22,UserSpeaking,,
24,311,6.22,420,6.24,Baseline,,
25,312,6.24,425,6.25,GoogleHomeSpeaking,,
26,312.5,6.25,440,6.28,UserSpeaking,,
27,314,6.28,455,6.31,GoogleHomeSpeaking,,
28,315.5,6.31,465,6.33,Baseline,,
29,316.5,6.33,470,6.34,UserSpeaking,,
30,317,6.34,355,7.01,Baseline,,
31,350.5,7.01,630,7.56,InstructorSpeaking,,
32,407.5,8.15,495,8.19,UserSpeaking,,
33,409.5,8.19,500,8.2,Baseline,,
34,410,8.2,540,8.28,GoogleHomeSpeaking,,
35,414,8.28,555,8.31,UserSpeaking,,
36,415.5,8.31,565,8.33,GoogleHomeSpeaking,,
37,416.5,8.33,575,8.35,UserSpeaking,,
38,417.5,8.35,590,8.38,GoogleHomeSpeaking,,
39,419,8.38,600,8.4,UserSpeaking,,
40,420,8.4,605,8.41,GoogleHomeSpeaking,,
41,420.5,8.41,620,8.44,UserSpeaking,,
42,422,8.44,640,8.48,Baseline,,
43,424,8.48,655,8.51,GoogleHomeSpeaking,,
44,425.5,8.51,670,8.54,UserSpeaking,,
45,463.5,9.27,590,9.28,GoogleHomeSpeaking,,
46,464,9.28,600,9.3,UserSpeaking,,
47,465,9.3,615,9.33,Baseline,,
48,466.5,9.33,660,9.42,GoogleHomeSpeaking,,
49,471,9.42,670,9.44,UserSpeaking,,
50,472,9.44,675,9.45,Baseline,,
51,472.5,9.45,685,9.47,GoogleHomeSpeaking,,
52,473.5,9.47,690,9.48,Baseline,,
53,474,9.48,710,9.52,InstructorSpeaking,,
54,476,9.52,720,9.54,UserSpeaking,,
55,477,9.54,75,10.05,InstructorSpeaking,,
56,55,10.1,180,10.26,Baseline,,
57,63,10.26,115,11.13,InstructorSpeaking,,
58,56.5,11.13,145,11.19,UserSpeaking,,
59,59.5,11.19,185,11.27,GoogleHomeSpeaking,,
60,63.5,11.27,200,11.3,UserSpeaking,,
61,65,11.3,205,11.31,Baseline,,
62,65.5,11.31,250,11.4,GoogleHomeSpeaking,,
63,70,11.4,255,11.41,Baseline,,
64,70.5,11.41,260,11.42,UserSpeaking,,
65,71,11.42,265,11.43,Baseline,,
66,71.5,11.43,275,11.45,GoogleHomeSpeaking,,
67,72.5,11.45,285,11.47,UserSpeaking, ,
68,73.5,11.47,290,11.48,Baseline,,
69,74,11.48,300,11.5,GoogleHomeSpeaking,,
70,75,11.5,310,11.52,UserSpeaking,,
71,76,11.52,320,11.54,Baseline,,
72,77,11.54,330,11.56,GoogleHomeSpeaking,,
73,78,11.56,340,11.58,UserSpeaking,,
74,79,11.58,55,12.01,GoogleHomeSpeaking,,
75,50.5,12.01,70,12.04,UserSpeaking,,
76,52,12.04,75,12.05,Baseline,,
77,52.5,12.05,85,12.07,GoogleHomeSpeaking,,
78,53.5,12.07,95,12.09,UserSpeaking,,
79,54.5,12.09,105,12.11,Baseline,,
80,55.5,12.11,135,12.17,UserSpeaking,,
81,58.5,12.17,185,12.27,GoogleHomeSpeaking,,
82,63.5,12.27,190,12.28,UserSpeaking,,
